ts_unix_ms,ts_utc,pump_1_status,pump_1_sp,pump_1_speed,pump_2_status,pump_2_sp,pump_2_speed,pump_3_status,pump_3_sp,pump_3_speed,pump_4_status,pump_4_sp,pump_4_speed,magneticStirrer_bioreactor_status,magneticStirrer_bioreactor_sp,magneticStirrer_bioreactor_speed,magneticStirrer_bioreactor_fan_duty_cycle,magneticStirrer_lagoon_status,magneticStirrer_lagoon_sp,magneticStirrer_lagoon_speed,magneticStirrer_lagoon_fan_duty_cycle,valve_bio2lag_status,valve_sug2lag_status,od_bioreactor_status,od_bioreactor_value,od_lagoon_status,od_lagoon_value,tempCtrl_bioreactor_status,tempCtrl_bioreactor_sp,tempCtrl_bioreactor_value,tempCtrl_bioreactor_heater_duty_cycle,tempCtrl_lagoon_status,tempCtrl_lagoon_sp,tempCtrl_lagoon_value,tempCtrl_lagoon_heater_duty_cycle,phtCount_lagoon_status,phtCount_lagoon_value,phtCount_lagoon_overlight,nucleo_temperature,ntc1_ambient_temp,ntc2_pump1_temp,ntc3_pump2_temp,ntc4_pump3_temp,ntc5_pump4_temp,level_sensor_bioreactor_status,level_sensor_lagoon_status,flow_rate_pump1,flow_rate_pump2,flow_rate_pump3,flow_rate_pump4,sample_row,sample_col,sample_done_flag,Annotations,ts_local
1789563729152,2026-09-16T13:02:09.152846+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2453,0,0.0,1,37.0,36.45,0.03,0,37.0,-185.87,0.0,0,0.0,0,28.0,27.27,62.38,66.79,80.46,96.76,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:09.152000+02:00
1789563730153,2026-09-16T13:02:10.153381+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2455,0,0.0,1,37.0,36.45,0.03,0,37.0,-187.79,0.0,0,0.0,0,28.0,27.28,62.43,66.8,80.47,96.84,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:10.153000+02:00
1789563731153,2026-09-16T13:02:11.153266+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2444,0,0.0,1,37.0,36.46,0.03,0,37.0,-176.35,0.0,0,0.0,0,28.0,27.27,62.44,66.75,80.43,97.66,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:11.153000+02:00
1789563732153,2026-09-16T13:02:12.153873+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2455,0,0.0,1,37.0,36.46,0.03,0,37.0,-179.1,0.0,0,0.0,0,28.0,27.28,62.43,66.75,80.4,97.46,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:12.153000+02:00
1789563733153,2026-09-16T13:02:13.153209+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2446,0,0.0,1,37.0,36.46,0.03,0,37.0,-174.69,0.0,0,0.0,0,28.0,27.28,62.42,66.79,80.39,97.74,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:13.153000+02:00
1789563734153,2026-09-16T13:02:14.153118+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2455,0,0.0,1,37.0,36.46,0.03,0,37.0,-185.71,0.0,0,0.0,0,28.0,27.29,62.38,66.77,80.42,97.95,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:14.153000+02:00
1789563735153,2026-09-16T13:02:15.153476+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2442,0,0.0,1,37.0,36.48,0.03,0,37.0,-178.4,0.0,0,0.0,0,28.0,27.29,62.34,66.71,80.39,98.3,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:15.153000+02:00
1789563736156,2026-09-16T13:02:16.156339+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2453,0,0.0,1,37.0,36.48,0.03,0,37.0,-182.75,0.0,0,0.0,0,28.0,27.3,62.37,66.66,80.41,98.07,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:16.156000+02:00
1789563737153,2026-09-16T13:02:17.153707+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2446,0,0.0,1,37.0,36.47,0.03,0,37.0,-185.08,0.0,0,0.0,0,28.0,27.31,62.41,66.66,80.45,97.78,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:17.153000+02:00
1789563738152,2026-09-16T13:02:18.152876+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.244,0,0.0,1,37.0,36.48,0.03,0,37.0,-176.16,0.0,0,0.0,0,28.0,27.32,62.43,66.69,80.49,97.59,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:18.152000+02:00
1789563739152,2026-09-16T13:02:19.152961+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2424,0,0.0,1,37.0,36.48,0.03,0,37.0,-190.06,0.0,0,0.0,0,28.0,27.32,62.43,66.75,80.55,97.2,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:19.152000+02:00
1789563740152,2026-09-16T13:02:20.152783+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2446,0,0.0,1,37.0,36.49,0.03,0,37.0,-176.79,0.0,0,0.0,0,28.0,27.32,62.41,66.75,80.59,97.76,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:20.152000+02:00
1789563741152,2026-09-16T13:02:21.152868+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2458,0,0.0,1,37.0,36.49,0.03,0,37.0,-175.36,0.0,0,0.0,0,28.0,27.33,62.4,66.76,80.68,98.85,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:21.152000+02:00
1789563742153,2026-09-16T13:02:22.153537+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2467,0,0.0,1,37.0,36.48,0.03,0,37.0,-173.97,0.0,0,0.0,0,28.0,27.33,62.42,66.76,80.62,99.23,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:22.153000+02:00
1789563743153,2026-09-16T13:02:23.153672+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2467,0,0.0,1,37.0,36.5,0.03,0,37.0,-183.47,0.0,0,0.0,0,28.0,27.33,62.41,66.75,80.57,99.53,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:23.153000+02:00
1789563744153,2026-09-16T13:02:24.153483+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2471,0,0.0,1,37.0,36.49,0.03,0,37.0,-182.67,0.0,0,0.0,0,28.0,27.31,62.39,66.72,80.59,98.46,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:24.153000+02:00
